Record,Server Address,first
1,34.239.253.124,3
2,151.101.64.70,1
3,151.101.64.70,1
4,173.194.78.189,1
5,172.217.6.142,1
6,173.194.78.189,1
7,173.194.78.189,1
8,172.217.6.142,1
9,172.217.6.142,1
10,172.217.12.46,1
11,173.194.78.189,1
12,173.194.78.189,1
13,192.168.0.9,1
14,173.194.78.189,1
15,173.194.78.189,1
16,173.194.78.189,1
17,173.194.78.189,1
18,172.217.9.174,1
19,173.194.78.189,1
20,173.194.78.189,1
21,216.58.218.109,2
22,34.239.253.124,3
23,173.194.78.189,1
24,172.217.9.14,1
25,173.194.78.189,1
26,172.217.9.174,1
27,173.194.78.189,1
28,172.217.9.14,1
29,172.217.9.174,1
30,216.58.194.129,2
31,172.217.9.1,1
32,172.217.9.1,1
33,172.217.9.1,1
34,216.58.194.129,2
35,172.217.9.129,1
36,172.217.9.174,1
37,172.217.9.174,1
38,172.217.9.174,1
39,172.217.6.142,1
40,172.217.6.142,1
41,172.217.12.46,1
42,172.217.9.174,1
43,151.101.0.70,1
44,151.101.0.70,1
45,172.217.9.174,1
46,173.194.78.189,1
47,172.217.12.46,1
48,34.239.253.124,3
49,173.194.78.189,1
50,173.194.78.189,1
51,151.101.0.70,1
52,34.239.253.124,3
53,162.125.32.135,1
54,162.125.32.135,1
55,151.101.0.70,1
56,151.101.0.70,1
57,34.239.253.124,3
58,34.239.253.124,3
59,151.101.0.70,1
60,34.239.253.124,3
61,151.101.0.70,1
62,151.101.0.70,1
63,172.217.6.142,1
64,173.194.78.189,1
65,172.217.12.46,1
66,173.194.78.189,1
67,172.217.1.227,1
68,172.217.1.227,1
69,173.194.78.189,1
70,131.253.61.96,1
71,131.253.61.96,1
72,131.253.61.96,1
73,131.253.61.96,1
74,173.194.78.189,1
75,34.239.253.124,3
76,216.58.194.142,2
77,151.101.192.70,1
78,151.101.192.70,1
79,34.239.253.124,3
80,173.194.78.189,1
81,34.239.253.124,3
82,151.101.192.70,1
83,151.101.192.70,1
84,151.101.0.70,1
85,34.239.253.124,3
86,216.58.194.142,2
87,151.101.192.70,1
88,34.239.253.124,3
89,172.217.12.46,1
90,34.239.253.124,3
91,151.101.0.70,1
92,151.101.0.70,1
93,104.96.84.129,1
94,104.96.84.129,1
95,104.96.84.129,1
96,104.96.84.129,1
97,173.194.78.189,1
98,173.194.78.189,1
99,34.239.253.124,3
100,173.194.78.189,1
101,173.194.78.189,1
102,216.58.194.142,2
103,216.58.194.142,2
104,173.194.78.189,1
105,151.101.0.70,1
106,151.101.0.70,1
107,173.194.78.189,1
108,216.58.194.99,2
109,173.194.78.189,1
110,173.194.78.189,1
111,151.101.0.70,1
112,34.239.253.124,3
113,34.239.253.124,3
114,151.101.0.70,1
115,151.101.0.70,1
116,34.239.253.124,3
117,151.101.0.70,1
118,151.101.0.70,1
119,173.194.78.189,1
120,173.194.78.189,1
121,34.239.253.124,3
122,151.101.0.70,1
123,151.101.0.70,1
124,173.194.78.189,1
125,173.194.78.189,1
126,173.194.78.189,1
127,34.239.253.124,3
128,151.101.0.70,1
129,151.101.0.70,1
130,173.194.78.189,1
131,173.194.78.189,1
132,34.239.253.124,3
133,173.194.78.189,1
134,151.101.0.70,1
135,34.239.253.124,3
136,151.101.0.70,1
137,34.239.253.124,3
138,173.194.78.189,1
139,173.194.78.189,1
140,173.194.78.189,1
141,34.239.253.124,3
142,131.253.61.96,1
143,131.253.61.96,1
144,131.253.61.96,1
145,131.253.61.96,1
146,131.253.61.96,1
147,131.253.61.96,1
148,131.253.61.96,1
149,131.253.61.96,1
150,131.253.61.96,1
151,151.101.0.70,1
152,151.101.0.70,1
153,192.168.0.9,1
154,151.101.0.70,1
155,216.58.218.206,2
156,34.239.253.124,3
157,172.217.6.133,1
158,173.194.78.189,1
159,173.194.78.189,1
